input_types,anomaly_types,gemini-2.0-flash-lite,gemini-2.0-flash,gpt-4o-mini,gpt-4o,llama32-11B,llama32-90B,Ovis2-8B,Ovis2-34B,Qwen25VL-7B,Qwen25VL-72B,llavaov-7B,llavaov-72B
text,fre,100.0,100.0,0.0,31.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
textvision,fre,96.0,11.0,2.0,52.0,0.2,6.8,0.0,0.0,0.0,0.0,0.0,0.5
vision,fre,100.0,0.0,0.0,25.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
text,point,100.0,100.0,0.0,38.5,3.8,0.8,1.5,0.0,0.0,0.0,0.0,0.0
textvision,point,100.0,11.2,1.5,54.2,0.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0
vision,point,100.0,0.0,0.0,57.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
text,range,100.0,100.0,0.0,70.5,0.0,0.0,0.5,0.0,0.0,0.0,78.0,0.0
textvision,range,100.0,9.5,0.0,83.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
vision,range,100.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
text,trend,100.0,99.2,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
textvision,trend,100.0,0.0,0.0,30.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
vision,trend,100.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
