anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,0.8981,0.9828,0.9907,0.8950,1.0000,1.0000,0.8555,0.8567,0.9739,0.6993,0.2531,0.1145
gemini-2.0-flash,0.9085,0.9748,0.9876,0.9827,0.9985,0.9969,0.8555,0.8859,0.9819,0.6577,0.0545,0.1709
gpt-4o-mini,0.9027,0.9100,0.0061,0.9264,0.9599,0.0304,0.8555,0.8555,0.1062,0.6982,0.6971,0.0093
gpt-4o,0.6934,0.6802,0.4402,0.9601,0.9843,0.8511,0.8748,0.9302,0.0584,0.1167,0.0000,0.0000
llama32-11B,0.8981,0.8981,0.8981,0.8950,0.8950,0.8950,0.8555,0.8555,0.8555,0.6971,0.6971,0.6971
llama32-90B,0.8981,0.8963,0.8981,0.8950,0.8920,0.8950,0.8555,0.8504,0.8567,0.6971,0.6919,0.6971
Ovis2-8B,0.8981,0.7115,0.7340,0.8950,0.9985,0.9985,0.8555,0.9047,0.9819,0.6971,0.6059,0.0000
Ovis2-34B,0.6557,0.9060,0.8685,0.9429,0.8950,0.8950,0.8555,0.8807,0.9803,0.4436,0.2531,0.5190
Qwen25VL-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0000,0.0264,0.0710,0.0000,0.0000,0.0000
Qwen25VL-72B,0.0061,0.9294,0.9568,0.8998,0.9969,0.9985,0.8609,0.8567,0.9102,0.4089,0.9637,0.9687
llavaov-7B,0.8981,0.8981,0.8981,0.8950,0.8950,0.8950,0.8555,0.8555,0.8555,0.6971,0.6971,0.6971
llavaov-72B,0.8981,0.8981,0.8796,0.8950,0.8950,0.9985,0.8555,0.8555,0.9047,0.6971,0.6971,0.6971
isolationForest,0.8981,0.8981,0.8981,0.8950,0.8950,0.8950,0.8555,0.8555,0.8555,0.6971,0.6971,0.6971
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
random,0.8233,0.8162,0.8050,0.7963,0.8140,0.8148,0.7573,0.7182,0.7243,0.5116,0.5327,0.4929
