anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,0.2538,0.6580,0.6668,0.3883,0.4872,0.4959,0.4307,0.4732,0.5065,0.0504,0.0294,0.0209
gemini-2.0-flash,0.3845,0.5948,0.6076,0.4986,0.4855,0.4088,0.5829,0.5470,0.4448,0.1951,0.0130,0.0378
gpt-4o-mini,0.1074,0.1276,0.0000,0.1323,0.1459,0.0013,0.1800,0.1755,0.0081,0.0908,0.0739,0.0001
gpt-4o,0.2959,0.3080,0.1131,0.5514,0.5667,0.2001,0.5197,0.5439,0.0148,0.0213,0.0000,0.0000
llama32-11B,0.1017,0.1019,0.1056,0.0691,0.0853,0.0988,0.0626,0.0790,0.0939,0.0734,0.0950,0.0955
llama32-90B,0.0897,0.2034,0.2027,0.1218,0.2112,0.1900,0.2672,0.2915,0.2532,0.0687,0.0845,0.1131
Ovis2-8B,0.0660,0.1859,0.2270,0.0911,0.1636,0.1896,0.0617,0.2306,0.2621,0.0480,0.0430,0.0000
Ovis2-34B,0.1160,0.3831,0.4070,0.1861,0.4117,0.3447,0.2580,0.3964,0.3472,0.0416,0.0382,0.0840
Qwen25VL-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0060,0.0201,0.0000,0.0000,0.0000
Qwen25VL-72B,0.0003,0.3261,0.3600,0.2455,0.3602,0.3184,0.2677,0.4221,0.3940,0.0491,0.0598,0.1610
llavaov-7B,0.0552,0.1955,0.2118,0.0153,0.1087,0.0987,0.0327,0.1359,0.1372,0.0482,0.1191,0.1512
llavaov-72B,0.1890,0.2342,0.2595,0.0788,0.1613,0.1845,0.1583,0.1677,0.2213,0.0281,0.0607,0.0560
isolationForest,0.1159,0.1159,0.1159,0.0655,0.0655,0.0655,0.2819,0.2819,0.2819,0.0919,0.0919,0.0919
perfect,0.8150,0.8150,0.8150,0.8100,0.8100,0.8100,0.7475,0.7475,0.7475,0.5350,0.5350,0.5350
