anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,0.1582,0.3052,0.3210,0.0787,0.5317,0.5833,0.1310,0.4840,0.5353,0.0752,0.0166,0.0734
gemini-2.0-flash,0.1672,0.1753,0.3037,0.1140,0.5066,0.5763,0.1558,0.4209,0.4843,0.0087,0.0000,0.0202
gpt-4o-mini,0.0341,0.0122,0.0000,0.0587,0.1260,0.0495,0.1368,0.0941,0.0548,0.0720,0.0337,0.0000
gpt-4o,0.0111,0.0394,0.0211,0.0649,0.1799,0.3470,0.1192,0.1984,0.2342,0.0187,0.0043,0.0000
llama32-11B,0.4046,0.4308,0.3482,0.3639,0.3586,0.4021,0.1437,0.3601,0.3431,0.1426,0.2361,0.2345
llama32-90B,0.1906,0.4343,0.3131,0.1411,0.3884,0.4072,0.1378,0.3268,0.3312,0.0459,0.1804,0.3070
Ovis2-8B,0.3598,0.0335,0.0371,0.2347,0.1972,0.1927,0.2866,0.1981,0.1229,0.4219,0.0000,0.0000
Ovis2-34B,0.0000,0.0568,0.0853,0.0464,0.2026,0.3281,0.0844,0.1333,0.1283,0.0000,0.0454,0.0946
Qwen25VL-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen25VL-72B,0.0000,0.0145,0.0800,0.0120,0.3141,0.3255,0.0407,0.3207,0.3166,0.0000,0.0347,0.0534
llavaov-7B,0.1350,0.3684,0.3727,0.0002,0.4407,0.4744,0.1910,0.3478,0.3378,0.0000,0.0305,0.0047
llavaov-72B,0.0143,0.0570,0.1258,0.0114,0.3310,0.4240,0.0573,0.1261,0.3387,0.0249,0.4203,0.4198
isolationForest,0.9000,0.9000,0.9000,0.7044,0.7044,0.7044,0.7012,0.7012,0.7012,0.2225,0.2225,0.2225
perfect,0.9000,0.9000,0.9000,0.7075,0.7075,0.7075,0.7525,0.7525,0.7525,0.4250,0.4250,0.4250
