anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
gemini-2.0-flash-lite,0.5000,0.9831,0.9908,0.5000,1.0000,1.0000,0.5000,0.5050,0.9208,0.5054,0.5724,0.5304
gemini-2.0-flash,0.7080,0.9755,0.9877,0.9830,0.9985,0.9969,0.5000,0.6188,0.9455,0.4579,0.5140,0.5467
gpt-4o-mini,0.6585,0.8791,0.5015,0.6796,0.9614,0.5077,0.5000,0.5000,0.5086,0.5027,0.5000,0.5023
gpt-4o,0.7653,0.7577,0.6411,0.9513,0.9846,0.8704,0.5858,0.8018,0.5151,0.5005,0.5000,0.5000
llama32-11B,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
llama32-90B,0.5000,0.5037,0.5000,0.5000,0.4969,0.5000,0.5000,0.5246,0.5050,0.5000,0.4987,0.5000
Ovis2-8B,0.5000,0.7761,0.7899,0.5000,0.9985,0.9985,0.5000,0.6881,0.9455,0.5000,0.7173,0.5000
Ovis2-34B,0.7439,0.9141,0.4709,0.9460,0.5000,0.5000,0.5000,0.5990,0.9406,0.2664,0.5724,0.6752
Qwen25VL-7B,0.5000,0.5000,0.5000,0.5000,0.5000,0.5046,0.5000,0.5067,0.5184,0.5000,0.5000,0.5000
Qwen25VL-72B,0.5015,0.9340,0.9586,0.9090,0.9969,0.9985,0.5313,0.5050,0.7079,0.6285,0.9650,0.9696
llavaov-7B,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
llavaov-72B,0.5000,0.5000,0.4816,0.5000,0.5000,0.9985,0.5000,0.5000,0.6881,0.5000,0.5000,0.5000
isolationForest,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
