anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.1850,0.1850,0.1850,0.1900,0.1900,0.1900,0.2525,0.2525,0.2525,0.4650,0.4650,0.4650
gemini-2.0-flash-lite,0.1773,0.7535,0.7891,0.3023,0.7230,0.7466,0.4640,0.5041,0.7499,0.0522,0.4847,0.4823
gemini-2.0-flash,0.3996,0.7227,0.7622,0.5923,0.7159,0.6875,0.5539,0.6038,0.7160,0.1550,0.4770,0.5048
gpt-4o-mini,0.1559,0.2651,0.1850,0.2005,0.3303,0.1906,0.2074,0.2047,0.2512,0.1125,0.0835,0.4652
gpt-4o,0.3643,0.4066,0.2895,0.6455,0.7141,0.4165,0.5621,0.6967,0.2648,0.4515,0.4650,0.4650
llama32-11B,0.1580,0.1481,0.1463,0.1211,0.1328,0.1440,0.0889,0.1187,0.1380,0.0993,0.1371,0.1283
llama32-90B,0.1118,0.2045,0.2398,0.1699,0.2559,0.2571,0.3018,0.3555,0.2905,0.0898,0.1084,0.1409
Ovis2-8B,0.0769,0.3340,0.3441,0.1116,0.3784,0.3992,0.0805,0.3205,0.4576,0.0648,0.5031,0.4650
Ovis2-34B,0.2602,0.4492,0.3275,0.3629,0.3732,0.3488,0.2749,0.4082,0.5202,0.0461,0.4944,0.5264
Qwen25VL-7B,0.1850,0.1850,0.1850,0.1900,0.1900,0.1940,0.2525,0.2574,0.2677,0.4650,0.4650,0.4650
Qwen25VL-72B,0.1856,0.5074,0.5614,0.4072,0.6089,0.5886,0.3181,0.4660,0.5193,0.5191,0.5285,0.6120
llavaov-7B,0.0749,0.2584,0.2750,0.0223,0.1585,0.1497,0.0309,0.1943,0.1989,0.0483,0.1308,0.1646
llavaov-72B,0.2104,0.2734,0.3179,0.0838,0.2342,0.4511,0.1514,0.2088,0.3849,0.0385,0.0862,0.0717
isolationForest,0.1939,0.1939,0.1939,0.1181,0.1181,0.1181,0.3721,0.3721,0.3721,0.1097,0.1097,0.1097
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
