anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash-lite,0.9000,1.0000,0.8980,0.7093,0.9861,0.7075,0.7525,0.7525,0.9773,0.4250,1.0000,1.0000
gemini-2.0-flash,1.0000,1.0000,0.9366,1.0000,1.0000,0.7075,0.7525,0.9495,0.9934,0.4250,1.0000,1.0000
gpt-4o-mini,0.9003,1.0000,1.0000,0.8231,0.9960,1.0000,0.7519,0.7653,1.0000,0.4236,0.4263,1.0000
gpt-4o,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8705,0.9061,1.0000,0.4051,0.7778,1.0000
llama32-11B,0.9000,0.8995,0.9000,0.7075,0.7060,0.7075,0.7525,0.7481,0.7487,0.4250,0.4250,0.4250
llama32-90B,0.8995,0.9020,0.8987,0.7068,0.7128,0.7074,0.7525,0.7513,0.7658,0.4250,0.4250,0.4201
Ovis2-8B,0.9000,1.0000,1.0000,0.7075,1.0000,1.0000,0.7525,1.0000,1.0000,0.4250,1.0000,1.0000
Ovis2-34B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7525,0.8551,1.0000,1.0000,1.0000,1.0000
Qwen25VL-7B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Qwen25VL-72B,1.0000,1.0000,0.9319,1.0000,1.0000,1.0000,1.0000,0.9967,0.9647,1.0000,1.0000,1.0000
llavaov-7B,0.9000,0.9000,0.9000,0.7075,0.7075,0.7075,0.7525,0.7525,0.7525,0.4250,0.4250,0.4250
llavaov-72B,0.9000,1.0000,1.0000,0.7075,1.0000,0.7060,0.7525,0.7525,0.7525,0.4250,0.4250,0.4250
isolationForest,0.9000,0.9000,0.9000,0.7075,0.7075,0.7075,0.7525,0.7525,0.7525,0.4250,0.4250,0.4250
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
