anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,1.0000,0.9028,0.9778,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0765,0.3059
gemini-2.0-flash,0.8139,0.8500,0.9444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0529
gpt-4o-mini,0.7778,0.1778,0.0000,0.8551,0.8905,0.3180,0.9967,0.9967,0.6080,0.9941,0.9529,0.0000
gpt-4o,0.3167,0.2750,0.0694,0.9293,0.9965,0.9187,0.9601,0.9934,0.9070,0.3765,0.0412,0.0000
llama32-11B,1.0000,0.9944,1.0000,1.0000,0.9929,1.0000,1.0000,0.9767,0.9801,1.0000,1.0000,1.0000
llama32-90B,0.9944,0.9972,0.9861,0.9965,1.0000,0.9823,1.0000,0.9934,0.9668,1.0000,1.0000,0.9588
Ovis2-8B,1.0000,0.2778,0.2833,1.0000,1.0000,0.9929,1.0000,0.9967,0.9934,1.0000,0.0000,0.0000
Ovis2-34B,0.0000,0.3472,0.4222,0.9152,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.2588,0.3647
Qwen25VL-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Qwen25VL-72B,0.0000,0.0528,0.6083,0.1484,0.9965,1.0000,0.5814,0.9967,1.0000,0.0000,0.0941,0.1471
llavaov-7B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
llavaov-72B,1.0000,0.1556,0.2972,1.0000,0.9823,0.9929,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
isolationForest,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
