anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash-lite,0.0375,0.3750,0.2485,0.0411,0.5618,0.3100,0.0686,0.2434,0.5084,0.0238,0.9841,0.9493
gemini-2.0-flash,0.3443,0.4172,0.2912,0.3460,0.5684,0.2902,0.1474,0.4805,0.5012,0.0323,1.0000,0.9930
gpt-4o-mini,0.2530,0.8544,1.0000,0.2963,0.4453,0.8407,0.0497,0.0733,0.5789,0.0205,0.0748,1.0000
gpt-4o,0.7373,0.7997,0.9612,0.3958,0.4172,0.5352,0.2579,0.2939,0.4398,0.6237,0.9789,1.0000
llama32-11B,0.0329,0.0404,0.0383,0.0298,0.0508,0.0533,0.0276,0.0490,0.0521,0.0210,0.0408,0.0427
llama32-90B,0.0457,0.0840,0.0759,0.0397,0.1995,0.1897,0.0445,0.0987,0.1337,0.0077,0.0679,0.1189
Ovis2-8B,0.0353,0.8031,0.7968,0.0223,0.4384,0.4411,0.0245,0.3326,0.3609,0.0380,1.0000,1.0000
Ovis2-34B,1.0000,0.7666,0.7041,0.4240,0.5464,0.5364,0.0660,0.2723,0.3985,1.0000,0.9651,0.9496
Qwen25VL-7B,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Qwen25VL-72B,1.0000,0.9652,0.4871,0.9064,0.5734,0.6277,0.5831,0.4254,0.4241,1.0000,0.9912,0.9864
llavaov-7B,0.0298,0.0370,0.0380,0.0031,0.0909,0.1024,0.0349,0.0493,0.0493,0.0000,0.0091,0.0008
llavaov-72B,0.0340,0.8899,0.7847,0.0244,0.4712,0.1681,0.0370,0.0581,0.0945,0.0022,0.0936,0.0975
isolationForest,0.0362,0.0362,0.0362,0.0348,0.0348,0.0348,0.1679,0.1679,0.1679,0.0800,0.0800,0.0800
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
