anomaly_types,fre,fre,fre,point,point,point,range,range,range,trend,trend,trend
input_types,text,textvision,vision,text,textvision,vision,text,textvision,vision,text,textvision,vision
dummy,0.1000,0.1000,0.1000,0.2925,0.2925,0.2925,0.2475,0.2475,0.2475,0.5750,0.5750,0.5750
gemini-2.0-flash-lite,0.2582,0.4052,0.4210,0.3712,0.8242,0.8758,0.3785,0.7315,0.7828,0.6502,0.5916,0.6484
gemini-2.0-flash,0.2672,0.2753,0.4037,0.4065,0.7991,0.8688,0.4033,0.6684,0.7318,0.5837,0.5750,0.5952
gpt-4o-mini,0.1341,0.1122,0.1000,0.3512,0.4185,0.3420,0.3843,0.3416,0.3023,0.6470,0.6087,0.5750
gpt-4o,0.1111,0.1394,0.1211,0.3574,0.4724,0.6395,0.3667,0.4459,0.4817,0.5937,0.5793,0.5750
llama32-11B,0.5046,0.5308,0.4482,0.6564,0.6511,0.6946,0.3912,0.6076,0.5906,0.7176,0.8111,0.8095
llama32-90B,0.2906,0.5343,0.4131,0.4336,0.6809,0.6997,0.3853,0.5743,0.5787,0.6209,0.7554,0.8820
Ovis2-8B,0.4598,0.1335,0.1371,0.5272,0.4897,0.4852,0.5341,0.4456,0.3704,0.9969,0.5750,0.5750
Ovis2-34B,0.1000,0.1568,0.1853,0.3389,0.4951,0.6206,0.3319,0.3808,0.3758,0.5750,0.6204,0.6696
Qwen25VL-7B,0.1000,0.1000,0.1000,0.2925,0.2925,0.2925,0.2475,0.2475,0.2475,0.5750,0.5750,0.5750
Qwen25VL-72B,0.1000,0.1145,0.1800,0.3045,0.6066,0.6180,0.2882,0.5682,0.5641,0.5750,0.6097,0.6284
llavaov-7B,0.2350,0.4684,0.4727,0.2927,0.7332,0.7669,0.4385,0.5953,0.5853,0.5750,0.6055,0.5797
llavaov-72B,0.1143,0.1570,0.2258,0.3039,0.6235,0.7165,0.3048,0.3736,0.5862,0.5999,0.9953,0.9948
isolationForest,1.0000,1.0000,1.0000,0.9969,0.9969,0.9969,0.9487,0.9487,0.9487,0.7975,0.7975,0.7975
perfect,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
